Model ID,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Precision_functional,Precision_functional needs repair,Precision_non functional,Recall_functional,Recall_functional needs repair,Recall_non functional
42,0.7753,0.6683,0.6584,0.6628,0.7987,0.3951,0.8110,0.8396,0.3754,0.7600
17,0.7782,0.6760,0.6665,0.6706,0.8008,0.4140,0.8132,0.8443,0.3986,0.7565
74,0.7768,0.6791,0.6718,0.6748,0.7980,0.4249,0.8144,0.8446,0.4229,0.7480
5,0.7780,0.6769,0.6603,0.6677,0.7979,0.4226,0.8101,0.8444,0.3766,0.7600
84,0.7786,0.6782,0.6681,0.6726,0.8003,0.4208,0.8135,0.8440,0.4032,0.7572
19,0.7740,0.6732,0.6575,0.6644,0.7939,0.4182,0.8076,0.8447,0.3789,0.7488
30,0.7726,0.6729,0.6627,0.6672,0.7952,0.4182,0.8052,0.8385,0.3998,0.7499
26,0.7743,0.6718,0.6646,0.6676,0.7960,0.4054,0.8141,0.8402,0.4021,0.7515
78,0.7716,0.6772,0.6650,0.6705,0.7934,0.4381,0.8000,0.8362,0.4102,0.7486
21,0.7753,0.6782,0.6641,0.6703,0.7954,0.4313,0.8078,0.8457,0.3998,0.7469
90,0.7806,0.6775,0.6627,0.6693,0.8008,0.4169,0.8149,0.8461,0.3778,0.7642
68,0.7723,0.6750,0.6642,0.6690,0.7946,0.4274,0.8032,0.8376,0.4056,0.7495
22,0.7746,0.6739,0.6656,0.6692,0.7949,0.4128,0.8141,0.8373,0.4032,0.7563
75,0.7709,0.6619,0.6484,0.6541,0.7886,0.3795,0.8177,0.8460,0.3557,0.7434
32,0.7830,0.6886,0.6724,0.6797,0.8020,0.4506,0.8133,0.8477,0.4067,0.7629
56,0.7759,0.6759,0.6667,0.6706,0.7963,0.4169,0.8146,0.8443,0.4067,0.7491
33,0.7729,0.6675,0.6619,0.6642,0.7991,0.3956,0.8078,0.8379,0.3951,0.7526
8,0.7716,0.6662,0.6592,0.6624,0.8003,0.4000,0.7983,0.8286,0.3847,0.7642
60,0.7799,0.6829,0.6734,0.6776,0.8026,0.4349,0.8110,0.8438,0.4183,0.7581
67,0.7747,0.6734,0.6655,0.6690,0.7977,0.4131,0.8094,0.8362,0.4021,0.7583
14,0.7785,0.6789,0.6621,0.6695,0.7962,0.4264,0.8141,0.8466,0.3824,0.7572
7,0.7766,0.6713,0.6635,0.6669,0.7993,0.3993,0.8152,0.8399,0.3905,0.7600
20,0.7715,0.6631,0.6492,0.6553,0.7943,0.3900,0.8049,0.8393,0.3534,0.7548
58,0.7773,0.6797,0.6632,0.6706,0.8003,0.4377,0.8011,0.8399,0.3870,0.7627
79,0.7769,0.6752,0.6690,0.6718,0.8019,0.4141,0.8095,0.8357,0.4079,0.7635
92,0.7760,0.6747,0.6617,0.6674,0.7954,0.4151,0.8137,0.8454,0.3882,0.7515
95,0.7718,0.6649,0.6545,0.6591,0.7960,0.3927,0.8061,0.8407,0.3731,0.7497
98,0.7776,0.6736,0.6587,0.6654,0.7994,0.4124,0.8092,0.8426,0.3708,0.7629
66,0.7730,0.6669,0.6564,0.6612,0.7989,0.3995,0.8023,0.8348,0.3731,0.7613
1,0.7751,0.6724,0.6632,0.6673,0.7974,0.4089,0.8109,0.8376,0.3928,0.7591
72,0.7791,0.6737,0.6629,0.6678,0.8012,0.4044,0.8156,0.8438,0.3824,0.7627
average,0.7756,0.6738,0.6627,0.6676,0.7976,0.4141,0.8098,0.8411,0.3911,0.7558
